population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,10,25-29 years,526,Digestive diseases,1,Number,2007,401.2975418771836,615.6523034958818,264.76063207956287
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,10,25-29 years,526,Digestive diseases,1,Number,2007,322.76723745810204,483.6719736851463,188.5155720551145
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,11,30-34 years,526,Digestive diseases,1,Number,2007,315.4835404101375,460.476757976776,204.00045132275065
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,11,30-34 years,526,Digestive diseases,1,Number,2007,360.4668914116181,544.3136565693187,237.0868273794863
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,12,35-39 years,526,Digestive diseases,1,Number,2007,474.07962015284943,730.0645758131641,313.80118008842726
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,12,35-39 years,526,Digestive diseases,1,Number,2007,337.1843658373362,527.6493461584291,214.95374622251504
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,13,40-44 years,526,Digestive diseases,1,Number,2007,468.1982354415586,700.1067353090418,319.5693213412289
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,13,40-44 years,526,Digestive diseases,1,Number,2007,445.0646526026903,700.0207860416373,290.0194904957996
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,14,45-49 years,526,Digestive diseases,1,Number,2007,548.1091649635212,794.0322515092403,365.8225932900281
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,14,45-49 years,526,Digestive diseases,1,Number,2007,441.7487008208844,640.4619610020573,285.69055500632703
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,15,50-54 years,526,Digestive diseases,1,Number,2007,524.948670051947,763.2407589516206,350.1967248243237
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,15,50-54 years,526,Digestive diseases,1,Number,2007,442.4987582397059,670.1033096450169,285.3974067873929
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,16,55-59 years,526,Digestive diseases,1,Number,2007,484.79908469280736,682.1785012208288,315.9813943046124
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,2,Female,16,55-59 years,526,Digestive diseases,1,Number,2007,401.80073750626633,621.4462811050817,266.6204759563282
1,All Population,3,YLDs (Years Lived with Disability),69,Singapore,1,Male,17,60-64 years,526,Digestive diseases,1,Number,2007,326.30338104492745,468.9401949187646,227.2445494736533
